id	category	description	reproducible	severity	fix_status
F1	rayon_injector	Tom's bug. crossbeam_deque::Injector blocks (~520 bytes, 64 JobRef slots) allocated during arena phase land in arena slab. Next begin_phase() recycles slab; next rayon::join from non-worker thread writes a JobRef (~17 bytes) over recycled memory. Single-block blast radius.	yes (test_rayon::rayon_does_not_corrupt_zkalloc, deterministic)	critical	flush_rayon (256 joins) deployed in leanMultisig but NOT in standalone zk-alloc main; standalone is currently vulnerable
F1a	rayon_injector	Audit characterization: 10/10 phase cycles corrupted (zk-alloc/tests/test_rayon_audit::repeated_phase_cycles). 1MB canary shows exactly ONE 17-byte run corrupted = single JobRef write per phase boundary, not cascading. Spawned-thread variant passes only because canary lives in different slab than the spawned thread's recycled Injector block.	yes	critical	standalone vulnerable
F1b	rayon_injector	Plonky3 reproduction: prove_poseidon1_baby_bear_keccak built with rayon-flush disabled crashes deterministically on 2nd iteration of prove_and_verify(). Panic site: tracing-forest layer/mod.rs:296 'Span extension doesn't contain OpenedSpan' — corruption hits tracing-subscriber registry HashMap, not just rayon-internal. Cascades to mutex poisoning (RwLock corruption).	yes (deterministic across both Poseidon1/BB and Poseidon2/KB)	critical	rayon-flush feature gate (default ON) masks; turning it off exposes
F1c	rayon_injector	leanMultisig prove_loop NEGATIVE result: 5 proofs run cleanly with verify=OK even without flush_rayon (zk-alloc-as-globalalloc, no flush). The bug pattern is workload-specific — depends on which threads call rayon::join inside an active phase, and which allocations live in the recycled slot. leanMultisig main thread calls xmss_aggregate which uses rayon, but corruption either misses observable state or doesn't fire here.	non-reproducible under prove_loop	high	suggests fix needs not to rely on workload-pattern luck
F2	dep_cache	flush_rayon (256 joins) DOES NOT FIX Plonky3. Re-enabled rayon-flush feature, rebuilt prove_poseidon1_baby_bear_keccak; STILL crashes deterministically on 2nd iter at tracing-forest layer/mod.rs:296 (Span extension missing OpenedSpan). Confirms a SECOND phase-crossing allocation class exists, distinct from rayon Injector blocks.	yes (Poseidon1/BB and Poseidon2/KB)	critical	flush_rayon is INSUFFICIENT — needs design rethink
F3	dep_cache	Removing tracing-forest Layer eliminates the Plonky3 crash (EXIT=0 for 3 prove_and_verify calls). Tracing is the OBSERVABLE VICTIM but not the source. Tested with rayon-flush both ON and OFF: clean exit either way. With 4096-span warmup before begin_phase: STILL crashes — so the issue is not sharded-slab Page allocation count.	yes	critical	root cause: per-slot growth-buffers retain backing storage across slot reuse
F4	dep_cache	ROOT CAUSE CONFIRMED IN SOURCE: tracing-subscriber's ExtensionsInner::clear() doc (registry/extensions.rs:178) states: "This permits the hash map allocation to be pooled by the registry so that future spans will not need to allocate new hashmaps." The HashMap backing buffer is INTENTIONALLY POOLED across span lifetimes — clear() empties entries but retains capacity. When the first use of a Registry slot happens during arena phase N, the HashMap's backing allocation lives in arena slab. Subsequent slot reuse inserts/removes into the SAME pooled buffer. After end_phase(N)+begin_phase(N+1), arena resets; buffer's bytes become recycled memory. New span insert writes corrupted control bytes; on_close lookup fails. F4 is no longer a hypothesis — it is the documented behavior of tracing-subscriber.	yes (source-code verified, version 0.3.22 and 0.3.23)	critical	any "pooled allocation across logical lifetimes" pattern is unsafe with phase-based arenas — size-routing fix (F5) is the correct answer
F5	phase_api	FIX VERIFIED: size-routing (ZK_ALLOC_MIN_BYTES) — small allocations (under threshold) bypass arena and go to System even during active phases. With ZK_ALLOC_MIN_BYTES=4096 + rayon-flush DISABLED: prove_poseidon1_baby_bear_keccak, prove_poseidon2_koala_bear_keccak, and prove_poseidon2_baby_bear_keccak_zk all pass cleanly (3 prove_and_verify cycles, EXIT=0). Standalone test_rayon::rayon_does_not_corrupt_zkalloc passes; test_rayon_audit::repeated_phase_cycles asserts bug reproduces (failures>0) and now fails — i.e., 0/10 cycles corrupted (proof the fix holds). Threshold sweep: 256+ all safe; 64-128 hangs (likely System allocator interaction). Recommended default: 4096 bytes (covers 4KB-page aligned data, all known library state allocations).	fix verified across Plonky3 examples and standalone test suite	—	candidate replacement for flush_rayon — no crossbeam coupling, no magic constant, no rayon-join overhead at boundaries
F5a	phase_api	FIX PERF: prove_poseidon1_baby_bear_keccak with ZK_ALLOC_MIN_BYTES=4096+rayon-flush: prove ~1.16-1.30s, verify ~18ms. Without fix (rayon-flush only, first iter only since others crash): prove 1.30s, verify 20ms. No measurable regression; possibly slight improvement (fewer collisions in arena bump path). Plonky3 perf neutral.	yes	—	supports adopting size-routing as default
F6	dep_cache	AUDIT: other transitive deps with potential growth-only / phase-crossing patterns. (a) crossbeam-epoch deferred-reclamation Bag<Garbage> blocks — heap-allocated, live until next collect; small (<4KB) so caught by size-routing fix. (b) rayon-core Registry per-worker ThreadInfo arrays — initialized once at thread pool start; pre-active-phase, in System. (c) tracing-subscriber sharded-slab Pages — small pages (<4KB) caught; LARGE pages (256+ slots, >4KB) would still go to arena. Workload risk: long-running tests with thousands of spans could trigger. (d) hashbrown HashMap rehash — when entry-count crosses threshold, allocates new bigger backing (could be >4KB) and migrates. If during phase, that backing is in arena. Risk: long-lived HashMaps that grow during a phase.	hypothesis	medium	size-routing covers most but not all; long-running workloads may need stricter routing or scope-aware activation
F7	phase_api	FIX SCALES: standalone test_size_routing_stress runs 100 phase cycles, each with 200 rayon::join + 64KB canary. Default ZK_ALLOC_MIN_BYTES=4096: 0/100 corrupted. Explicit ZK_ALLOC_MIN_BYTES=0 (disable): bug reproduces every cycle and eventually causes SIGSEGV at cycle ~42 — the corruption is not just bounded JobRef writes but cascades into uncontrolled memory access.	yes (zk-alloc/tests/test_size_routing_stress)	critical	confirms size-routing fix at scale; failure mode without fix is worse than initially characterized (segfault, not just data loss)
F8	phase_api	FINAL FIX DEPLOYED: standalone zk-alloc src/lib.rs now defaults MIN_ARENA_BYTES=4096 (size-routing on by default). Public API min_arena_bytes() exposes current value. Tests test_rayon, test_rayon_audit, test_size_routing_stress all assert bidirectionally (check fix-active vs disabled). To opt out: ZK_ALLOC_MIN_BYTES=0. NOTE: not yet propagated to leanMultisig zk-alloc or Plonky3 p3-zk-alloc — they retain their respective rayon-flush approaches and are vulnerable to F2-class bugs. Recommend porting size-routing to both.	—	—	standalone done; downstreams pending
F9	phase_api	FIX SCALES TO 100 ITERATIONS UNDER PLONKY3: prove_poseidon1_baby_bear_keccak with ITERS=100 (added env-var control), ZK_ALLOC_MIN_BYTES=4096, rayon-flush DISABLED, full tracing-forest layer active: completed all 100 prove_and_verify cycles cleanly, EXIT=0, 100 verify_with_preprocessed entries in trace. F6 concerns about large hashbrown rehash / sharded-slab Page growth did not materialize at this scale.	yes	—	high confidence in size-routing as the primary fix; flush_rayon should be retired
F10	phase_api	FIX PORTED to Plonky3 p3-zk-alloc and leanMultisig zk-alloc: both crates now default MIN_ARENA_BYTES=4096 with ZK_ALLOC_MIN_BYTES=0 to opt out. Plonky3: 3 examples (P1/BB, P2/KB, P2/BB-zk) clean exit, control with =0 reproduces panic. leanMultisig prove_loop: 30 proofs verify OK in 2.1s each (no regression vs prior 2.1s baseline), RSS stable at 11.5GB.	yes	—	all three crates now safe-by-default; downstream merge ready
